Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3058
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3013
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0203
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0214
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.6278
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.6277
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.8488
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.6277
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7718
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11.2046
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.5304
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.8488
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.7040
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11.1382
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.5308
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1463.7392
SBI BANKING & PSU FUND - Direct Plan - Growth	3323.1103
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1316.9546
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1460.4894
SBI BANKING & PSU FUND - Regular Paln - Growth	3128.3240
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1427.2282
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1236.1943
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1426.8849
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8743
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.7251
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7453
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7435
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.1186
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7924
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1296.9018
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1269.2105
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1137.5607
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1296.5934
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1139.3831
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1162.0177
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.4128
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1111.1716
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1226.2294
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.152
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1137.3103
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104.6011
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.1677
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.2005
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.2813
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.7853
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.4975
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.5837
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9289
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.6944
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6327
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2785
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.037
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.9119
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.2773
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.3729
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7356
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9814
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0598
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.7839
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2660
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1327
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3796
Axis Corporate Bond Fund - Direct Plan Growth	18.1152
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2000
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2322
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2461
Axis Corporate Bond Fund - Regular Plan Growth	17.1264
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5235
BANDHAN Corporate Bond Fund - Direct Growth	19.8302
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8163
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.4441
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1560
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8529
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5115
BANDHAN Corporate Bond Fund - Regular Growth	19.2638
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1953
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6976
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.9864
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.8870
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.4888
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9166
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5628
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6252
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7254
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.2525
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.7247
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8317
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4145
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.5757
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.6030
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6459
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3270
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7426
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7864
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.9181
DSP Corporate Bond Fund - Direct - Growth	16.1955
DSP Corporate Bond Fund - Direct - IDCW	11.4526
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.657
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.5001
DSP Corporate Bond Fund - Regular - Growth	15.9222
DSP Corporate Bond Fund - Regular - IDCW	11.4263
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6324
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8424
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	107.8193
Franklin India Corporate Debt Fund - Growth	99.6204
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.0063
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.0845
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1336
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.3683
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.9706
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8550
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4523
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.2806
HDFC Corporate Bond Fund - Growth Option	32.6996
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.4055
HDFC Corporate Bond Fund - IDCW Option	19.7953
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4685
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6824
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5658
HSBC Corporate Bond Fund - Direct Annual IDCW	11.9887
HSBC Corporate Bond Fund - Direct Growth	77.9385
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.634
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3594
HSBC Corporate Bond Fund - Regular Annual IDCW	11.7349
HSBC Corporate Bond Fund - Regular Growth	73.1902
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2258
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0267
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.8016
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.2399
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.3155
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5602
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	29.8307
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4699
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2522
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1970.4633
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1258.9036
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3418.8187
Invesco India Corporate Bond Fund - Direct Plan - Growth	3417.7425
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1268.7074
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1385.0505
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3351.171
Invesco India Corporate Bond Fund - Growth	3190.5383
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1828.7104
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1190.3984
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3949.1025
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1080.5066
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3783.449
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1232.5013
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.0541
Mirae Asset Corporate Bond Fund Direct IDCW	13.0513
Mirae Asset Corporate Bond Fund Regular Growth	12.8140
Mirae Asset Corporate Bond Fund Regular IDCW	12.8140
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.0190
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7672
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.5256
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1395
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.1050
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	63.1765
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.0138
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	60.2272
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.2952
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6394
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.3613
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.1384
PGIM India Corporate Bond Fund - Annual Dividend	10.528
